Campaign report
1 November 2025 - 30 April 2026
Campaign status	Campaign	Budget	Budget name	Budget type	Currency code	Status	Status reasons	Optimisation score	Campaign type	Conv. value / cost	Avg. target ROAS	Conv. value	Cost / conv.	TrueView avg. CPV	TrueView views	Impr.	Avg. CPM	Cost	Conversions	Clicks	CTR	Conv. (Platform comparable)	Conv. value/Cost (platform comparable)	Unique users
Paused	Retarget | Discovery | Saree Shaper	4200.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Demand Gen	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Demand Gen | Shimmer Leggings	1000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Demand Gen	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Search | Brand + Products	2400.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Discovery | Saree Shaper	5000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Demand Gen	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Search | High Neck Top	1500.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Search Dynamic | Leggings	2000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Demand Gen | Saree Shaper	2400.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Demand Gen	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Video Non-skippable - Pants	5000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	In-stream video	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Search | Square Neck Top	1500.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Enabled	KM | Palazzos	1531.00	 --	Daily	INR	Eligible (Limited)	account prepaid funds are low; some sitelinks are disapproved; Products are excluded	72.20	Performance Max	2.16	 --	"145,832.43"	481.24	0.60	"26,328"	"711,011"	95.11	67623.45	140.52	"17,077"	2.40%	0.00	0.00	
Paused	Shopping | Shimmer Leggings.	1500.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	TwinBirds - RLSA_SHP_TwinBirds_Search_2March2021	300.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	GH_Display_kurtipants_250225	1000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Display	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	SHP_Shimmer_Leggings	300.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Non-skippable Leggings	1000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	In-stream video	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Cropped Leggings	2300.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Capri Leggings	1000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Performance Max | Bottoms | South India	9500.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Performance Max	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Saree Shaper | Search	1531.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Discovery | 7/8 Cropped Leggings	4500.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Demand Gen	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	P Max | Ankle Leggings	4500.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; some asset groups limited by policy; Products are excluded	 --	Performance Max	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	RLSA	700.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Search | Metallic Pant	1700.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Display |	1600.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Display	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Enabled	KM | Pmax | Leggings	1531.00	 --	Daily	INR	Eligible (Limited)	account prepaid funds are low; some sitelinks are disapproved	71.18	Performance Max	2.70	 --	"472,962.21"	377.80	0.24	"99,211"	"2,607,721"	67.18	175197.53	463.74	"51,588"	1.98%	0.00	0.00	
Paused	Display Retarget | Metallic Pant	1000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; some ads disapproved	 --	Display	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	P Max | Palazzo	5500.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Performance Max	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Display Retarget |  Churidhar Leggings	1000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Display	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Palazzo	1000.00	 --	Daily	INR	Paused	campaign paused; Products are excluded; account prepaid funds are low	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Innerwear | Sports Vest	1200.00	 --	Daily	INR	Paused	campaign paused; Products are excluded; account prepaid funds are low	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Non-skippable - Leggings	5000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	In-stream video	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Pant Camp Generic	3000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	In-stream video	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Brand Search	2800.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	KM | Demand Gen | Saree Shaper	2800.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Demand Gen	0.46	 --	"46,192.88"	2182.69	0.35	"290,620"	"2,657,242"	38.16	101405.58	46.46	"16,957"	0.64%	163.00	1.57	
Enabled	KM | Pmax | SS	3520.00	 --	Daily	INR	Eligible (Limited)	account prepaid funds are low; some sitelinks are disapproved; Products are excluded	77.44	Performance Max	1.98	 --	"1,211,694.03"	610.16	0.34	"103,524"	"2,485,616"	245.84	611076.02	"1,001.50"	"58,531"	2.35%	0.00	0.00	
Paused	Video Efficient reach - Leggings	5000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	In-stream video	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Leggings New Camp_Generic	3000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	In-stream video	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Display Retarget | Saree Shaper	1000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Display	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Performance Max | Wrinkle & Knitted	2000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Performance Max	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
